Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
29,Tampa Bay Lightning,82,66,.402,207,269,61,343,17.78,89,405,78.02,4,9,2337,8.9,2701,.900
30,New York Islanders,82,61,.372,198,274,54,320,16.88,73,361,79.78,12,5,2372,8.3,2751,.900
Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
1,Washington Capitals*,82,313,227,79,313,25.24,67,316,78.80,4,8,2693,11.6,2535,.910
2,San Jose Sharks*,82,257,209,65,309,21.04,49,324,84.88,8,9,2602,9.9,2571,.919
3,Chicago Blackhawks*,82,262,203,52,294,17.69,40,266,84.96,13,4,2798,9.4,2058,.901
4,Phoenix Coyotes*,82,211,196,46,314,14.65,49,317,84.54,3,6,2502,8.4,2427,.919
5,Vancouver Canucks*,82,268,218,68,323,21.05,59,320,81.56,8,6,2534,10.6,2419,.910
6,New Jersey Devils*,82,216,186,51,272,18.75,41,240,82.92,7,5,2459,8.8,2213,.916
7,Detroit Red Wings*,82,223,207,59,307,19.22,43,267,83.90,8,1,2737,8.1,2413,.914
8,Los Angeles Kings*,82,231,211,64,307,20.85,60,304,80.26,4,6,2389,9.7,2260,.907
9,Pittsburgh Penguins*,82,249,235,56,326,17.18,52,327,84.10,7,8,2688,9.3,2350,.900
10,Nashville Predators*,82,217,221,47,286,16.43,59,258,77.13,5,5,2508,8.7,2396,.908
11,Buffalo Sabres*,82,231,201,55,313,17.57,38,284,86.62,4,3,2588,8.9,2573,.922
12,Colorado Avalanche*,82,237,228,56,310,18.06,60,303,80.20,8,9,2287,10.4,2629,.913
13,Ottawa Senators*,82,220,233,49,290,16.90,50,318,84.28,5,4,2436,9.0,2340,.900
14,Boston Bruins*,82,196,191,44,265,16.60,37,272,86.40,6,3,2599,7.5,2444,.922
15,St. Louis Blues,82,218,218,53,308,17.21,45,342,86.84,6,6,2445,8.9,2473,.912
16,Calgary Flames,82,201,203,43,268,16.04,54,305,82.30,7,1,2350,8.6,2372,.914
17,Anaheim Ducks,82,233,243,63,300,21.00,67,323,79.26,8,9,2472,9.4,2736,.911
